id,name,area,city,latitude,longitude,source,source_license,confidence,last_checked_at,court_type,access_type,price_type,has_lights,dryness_after_rain,slippery_when_wet,rain_playable,surface_type,surface_condition,court_cleanliness,court_space,runoff_safety,peak_times,has_nets,rim_height,rim_type,backboard_condition,rim_condition,hoop_count,opening_hours,evening_access,has_toilets,has_drinking_water,has_parking,has_changing_rooms,good_for_solo,good_for_pickup,good_for_training,beginner_friendly,notes,photo_asset_name,photo_url,osm_type,osm_id,osm_ref,osm_tags_json,import_batch
osm-way-1188468301,OSM Basketball Court 1188468301,UK,UK,51.4733696,-2.5858183,openStreetMap,ODbL - OpenStreetMap contributors,imported,Imported 2026-05-12,outdoor,unknown,unknown,no,unknown,unknown,unknown,asphalt,unknown,unknown,unknown,unknown,{unknown},unknown,unknown,unknown,unknown,unknown,,Access not confirmed,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,Imported from OpenStreetMap (way/1188468301). Name is missing in OSM and should be manually reviewed.,,,way,1188468301,way/1188468301,"{""@id"":""way/1188468301"",""leisure"":""pitch"",""lit"":""no"",""sport"":""basketball"",""surface"":""asphalt"",""@geometry"":""center""}",2026-05-12
osm-way-1188664661,OSM Basketball Court 1188664661,UK,UK,54.2037168,-5.8953869,openStreetMap,ODbL - OpenStreetMap contributors,imported,Imported 2026-05-12,outdoor,private,unknown,no,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,{unknown},unknown,unknown,unknown,unknown,unknown,2,Access not confirmed,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,Imported from OpenStreetMap (way/1188664661). Name is missing in OSM and should be manually reviewed.,,,way,1188664661,way/1188664661,"{""@id"":""way/1188664661"",""access"":""private"",""hoops"":""2"",""leisure"":""pitch"",""lit"":""no"",""sport"":""basketball"",""@geometry"":""center""}",2026-05-12
osm-way-1188723964,OSM Basketball Court 1188723964,UK,UK,50.8921905,-1.2501629,openStreetMap,ODbL - OpenStreetMap contributors,imported,Imported 2026-05-12,outdoor,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,{unknown},unknown,unknown,unknown,unknown,unknown,,Access not confirmed,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,Imported from OpenStreetMap (way/1188723964). Name is missing in OSM and should be manually reviewed.,,,way,1188723964,way/1188723964,"{""@id"":""way/1188723964"",""leisure"":""pitch"",""sport"":""basketball"",""@geometry"":""center""}",2026-05-12
osm-way-1188725188,OSM Basketball Court 1188725188,UK,UK,54.2210489,-5.8889078,openStreetMap,ODbL - OpenStreetMap contributors,imported,Imported 2026-05-12,outdoor,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,{unknown},unknown,unknown,unknown,unknown,unknown,1,Access not confirmed,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,Imported from OpenStreetMap (way/1188725188). Name is missing in OSM and should be manually reviewed.,,,way,1188725188,way/1188725188,"{""@id"":""way/1188725188"",""hoops"":""1"",""leisure"":""pitch"",""sport"":""basketball"",""@geometry"":""center""}",2026-05-12
osm-way-1188730724,OSM Basketball Court 1188730724,UK,UK,51.4775319,-0.0350187,openStreetMap,ODbL - OpenStreetMap contributors,imported,Imported 2026-05-12,outdoor,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,{unknown},unknown,unknown,unknown,unknown,unknown,,Access not confirmed,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,Imported from OpenStreetMap (way/1188730724). Name is missing in OSM and should be manually reviewed.,,,way,1188730724,way/1188730724,"{""@id"":""way/1188730724"",""leisure"":""pitch"",""sport"":""basketball"",""@geometry"":""center""}",2026-05-12
osm-way-1189411551,OSM Basketball Court 1189411551,UK,UK,54.3813166,-6.0184913,openStreetMap,ODbL - OpenStreetMap contributors,imported,Imported 2026-05-12,outdoor,unknown,unknown,yes,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,{unknown},unknown,unknown,unknown,unknown,unknown,2,Access not confirmed,yes,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,Imported from OpenStreetMap (way/1189411551). Name is missing in OSM and should be manually reviewed.,,,way,1189411551,way/1189411551,"{""@id"":""way/1189411551"",""hoops"":""2"",""leisure"":""pitch"",""lit"":""yes"",""sport"":""basketball;soccer"",""@geometry"":""center""}",2026-05-12
osm-way-1189907982,OSM Basketball Court 1189907982,UK,UK,51.0134640,-4.1892813,openStreetMap,ODbL - OpenStreetMap contributors,imported,Imported 2026-05-12,outdoor,public,unknown,unknown,unknown,unknown,unknown,concrete,unknown,unknown,unknown,unknown,{unknown},unknown,unknown,unknown,unknown,unknown,2,Access not confirmed,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,Imported from OpenStreetMap (way/1189907982). Name is missing in OSM and should be manually reviewed.,,,way,1189907982,way/1189907982,"{""@id"":""way/1189907982"",""access"":""yes"",""hoops"":""2"",""leisure"":""pitch"",""sport"":""basketball"",""surface"":""concrete"",""@geometry"":""center""}",2026-05-12
osm-way-1190275662,OSM Basketball Court 1190275662,UK,UK,51.8580135,0.1544159,openStreetMap,ODbL - OpenStreetMap contributors,imported,Imported 2026-05-12,outdoor,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,{unknown},unknown,unknown,unknown,unknown,unknown,1,Access not confirmed,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,Imported from OpenStreetMap (way/1190275662). Name is missing in OSM and should be manually reviewed.,,,way,1190275662,way/1190275662,"{""@id"":""way/1190275662"",""hoops"":""1"",""leisure"":""pitch"",""sport"":""basketball"",""@geometry"":""center""}",2026-05-12
osm-way-1190346431,OSM Basketball Court 1190346431,UK,UK,54.3792827,-5.9082142,openStreetMap,ODbL - OpenStreetMap contributors,imported,Imported 2026-05-12,outdoor,private,unknown,no,unknown,unknown,unknown,asphalt,unknown,unknown,unknown,unknown,{unknown},unknown,unknown,unknown,unknown,unknown,2,Access not confirmed,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,Imported from OpenStreetMap (way/1190346431). Name is missing in OSM and should be manually reviewed.,,,way,1190346431,way/1190346431,"{""@id"":""way/1190346431"",""access"":""private"",""hoops"":""2"",""leisure"":""pitch"",""lit"":""no"",""sport"":""basketball"",""surface"":""asphalt"",""@geometry"":""center""}",2026-05-12
osm-way-1190721331,OSM Basketball Court 1190721331,UK,UK,51.5559829,-1.7842985,openStreetMap,ODbL - OpenStreetMap contributors,imported,Imported 2026-05-12,outdoor,unknown,unknown,no,unknown,unknown,unknown,asphalt,unknown,unknown,unknown,unknown,{unknown},unknown,unknown,unknown,unknown,unknown,,Access not confirmed,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,Imported from OpenStreetMap (way/1190721331). Name is missing in OSM and should be manually reviewed.,,,way,1190721331,way/1190721331,"{""@id"":""way/1190721331"",""leisure"":""pitch"",""lit"":""no"",""sport"":""basketball"",""surface"":""asphalt"",""@geometry"":""center""}",2026-05-12
